,0
993796177,0
993813090,0
993838992,3
993861388,1
993886480,3
993897671,4
993908662,0
993946200,3
993951672,0
993960727,3
993970890,1
993990713,3
994008889,3
994011541,4
994021172,0
994041743,4
994044378,3
994044588,1
994076976,2
994089767,0
994103509,0
994106658,1
994118894,3
994160434,1
994167031,3
994170957,0
994177229,0
994191001,4
994192487,3
994198164,0
994204387,3
994208993,1
994225199,3
994226827,1
994241243,1
994249711,4
994262266,4
994273464,1
994290179,3
994294100,3
994305478,3
994308649,1
994314078,3
994335212,1
994336498,4
994342871,3
994357465,3
994358681,4
994363169,4
994373782,3
994375708,3
994376293,1
994388246,3
994393998,0
994404953,0
994411481,0
994419775,0
994441108,3
994446285,1
994451321,4
994454624,3
994454629,4
994460780,0
994460814,0
994463123,0
994479186,3
994479849,0
994535388,4
994538586,3
994541886,4
994557733,0
994560647,1
994562348,3
994564834,3
994567718,1
994571974,0
994579714,1
994583331,0
994587570,4
994591440,3
994610511,3
994615061,3
994617859,0
994618558,4
994629224,3
994654546,1
994657792,1
994658810,1
994661294,2
994662080,3
994675268,4
994714788,4
994720309,1
994730926,0
994731196,0
994739662,0
994757896,1
994769547,3
994793625,4
994809757,0
994812034,1
994813882,0
994815452,0
994818163,1
994824928,0
994838457,3
994841130,0
994848069,3
994854634,4
994879232,4
994879969,3
994891708,3
994893915,1
994894258,3
994899955,0
994905653,0
994922122,3
994923755,1
994933475,4
994935831,3
994945708,1
994947960,0
994968245,4
994975386,0
995003615,0
995074313,3
995077141,4
995077732,1
995081335,0
995095457,4
995106000,0
995124266,0
995149422,3
995153580,3
995168847,0
995199300,0
995206080,1
995207897,0
995214774,4
995219825,3
995230795,3
995234375,2
995265444,4
995286958,0
995291418,4
995297156,4
995309042,4
995323852,0
995323913,0
995350989,0
995379305,0
995383225,3
995387170,0
995401358,0
995413111,4
995423702,0
995434449,1
995472731,0
995479990,0
995482027,0
995491370,3
995494201,0
995511024,3
995518833,0
995521624,0
995527798,3
995534876,4
995547723,3
995549121,3
995557306,4
995557408,4
995562053,3
995574353,0
995582000,0
995596677,4
995608277,0
995621479,1
995629899,4
995635412,0
995636611,4
995648173,0
995651491,3
995659166,0
995683220,0
995703222,4
995711288,0
995744755,0
995747542,3
995750113,0
995752125,0
995754825,3
995754850,1
995775069,3
995787048,3
995798173,0
