上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1676791698,0,1,False,False,认知方面，特别是小地方的经济不发达地区的，大学最好是发达的一二线城市！要不然认知提高很难！原生家庭影响太大。
1676774493,0,1,False,False,对于高中读文的学生来说，第一张牌就已经很难打好了
1676725896,0,1,False,False,卷个岩土[藏狐]
1676892103,0,0,False,False,这集太爆炸了，不愧是我偶像
1676738244,1,1,False,False,我就听懂一个从0 到1并且不能保证后面有0[doge]
1676830979,0,0,False,False,脑子灵光
1676761451,0,1,False,False,没关系没路子 干啥都迷茫
1676816504,0,0,False,False,看片尾，是炒股
1676728307,1,2,False,False,天天上班玩手机就是工资有点低[蛆音娘_睡觉觉]恰不动了
1676865114,0,0,False,False,我2009年硕士研究生毕业，想想时间过的好快啊。
1676777030,0,0,False,False,皮哥，快更新
1676728040,0,1,False,False,活好自己就行了，没有信心养一个孩子
1676731561,0,1,False,False,同届10年高考 up真优秀考了584 俺发挥不好只考了443[笑哭]
1676886412,0,0,False,False,老哥你这口才  不当记者可惜了
1676739515,0,0,False,False,催更
1676741142,1,1,False,False,说难听点，只有计算机这个专业是难遇的普通人能改变自身的，只需要劳动力和技术，当然随着年龄衰退。
1676739819,0,1,False,False,这是工地吗？
1676783790,0,0,False,False,确实有道理
1676774509,0,0,False,False,校友啊
1676728450,0,0,False,False,[水稻]
1676858477,0,0,False,False,不知说什么，千言万语一切尽在不言中。点赞关注吧
1676728280,0,0,False,False,棒
1676763227,0,0,False,False,老哥监理工作怎么样
1676728981,0,0,False,False,up有点帅
1676730346,0,0,False,False,涨粉很稳定啊皮哥
1676788839,0,0,False,False,唉，又扎心了铁子[豹富]
1676726193,0,0,False,False,up说的很好了
1676726384,0,0,False,False,没牌可打啊
1676727326,0,0,False,False,老哥说的对呀[笑哭]
1676780301,6,0,True,False,Up看着是91的吗[偷笑]，选军校的咋说，哭死
1676767565,0,0,False,False,很棒！感觉说的最好的一期[鼓掌]
