爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1677203211.976867,822238328,有钱真的会更开心吗？,爱吃榴莲的小吴同学,35757240,2726,865,0,2165,10738,778,1030,148395
1677203511.1832397,652162721,一位退休高官的从政感悟,易缘老师,691475389,0,0,0,72,97,1,17,2877
1677203518.3462825,992227111,内心不够强大 千万别考乡镇 考编不异地 异地不乡镇 是永远的真理,卡妹儿-,351190028,33,15,0,91,307,102,35,12904
1677203618.5067635,524689584,江浙真题6--“丛林法则”淘汰中小微企业，可取吗？,北楚公务员面试,1567582106,11,2,0,31,28,3,5,1148
1677203656.1439528,737183524,公务员面试考场：怎么看待有人质疑农村直播无法长久,公考章晓铭,488609381,6,1,0,47,237,16,21,4440
1677203861.6659791,737158175,2023一号文件 I 5分钟讲完,公考李卜,38768544,4118,464,0,24610,12160,198,4642,414835
1677203891.1227431,609641012,【对啊网】Excel小技巧——Text的用法（二）,对啊网,32533840,2,2,0,4,12,1,0,265
1677203894.2912455,949739883,初级会计职称题库每日刷一题|对啊网名师 所有者权益,对啊网,32533840,1,0,0,4,16,1,0,177
1677203930.8425055,394625560,每日即兴英文演讲Was there an event / celebration you thought it was going to be best,英文演讲爱好者Scott,508695150,23,1,0,6,55,14,1,649
1677203938.035069,352140106,自动生成一个完整的Revit模型，这是AI干的？！,BIMBOX,76028355,48,2,0,277,186,32,344,8269
1677203983.7066736,482024189,Creo/proe模型颜色库文件，设计资料，结构设计，creo教程，proe教程，creo在线教学，一加一教育，佳言老师,Proe与Creo产品设计,370547437,2,1,0,23,24,14,3,600
1677204396.629024,479687680,超赞！高中英语优质课一等奖！词汇教学示范！太牛了！考编面试必学！,未来英语面试指导,505949610,26,0,0,304,143,6,51,3236
1677204397.7459946,524706425,当面试官遇到了真正的办公高手…,WPS小表姐,17131900,2728,128,0,24195,28226,274,614,671475
1677204421.080648,482154342,市长田封义一套公式轻松换算含权量，再次拿着祖传名画登门拜访省委副书记于华北,公务员干货,491307403,2,0,0,20,85,2,2,1850
1677204426.2279422,524748412,Excel一列日期统计周末天数,山竹Excel表格教学,670562659,3,0,0,33,86,0,0,979
1677204475.889139,267223136,在珠三角当老师的真实收入，月薪1.4万，年终奖4万，公积金3800,一不小心哥,574298442,57,15,0,34,254,115,36,9830
1677204516.4909246,267248602,淘宝搜索又改版了,电商人一灯,1110256210,5,1,0,25,72,7,3,4322
1677204547.0057802,907040546,实现财富自由后亚洲首富的公司也挖不到我,许林芳管理思维,1226380111,8,2,0,62,231,9,8,10446
