爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1677244048.254842,949603008,Excel简易横道图制作案例,山竹Excel表格教学,670562659,26,0,0,56,143,6,6,1178
1677244048.5599637,652031869,你竟然管我一个懒癌患者借钱,UP主五老师,17682864,3,1,0,1,32,3,0,327
1677244048.8660405,779589598,这些行为说明同事正在试探你,易缘老师,691475389,7,0,0,77,149,5,4,4649
1677244049.208086,907041212,【春招】游戏美术该如何提升审美？来自从业者的建议（快逃）,Paper朱,475323100,12,1,0,90,133,7,4,1776
1677244049.521898,949608286,体制内必备技能写材料！央企笔杆子分享如何提升写材料能力,小弘哥和暮色里,522846737,13,0,0,122,54,2,11,1495
1677244049.8135133,864566308,在体制内，升官的性价比，到底有多高？,公考干货君,473654149,8,1,0,38,83,0,6,1395
1677244050.2756581,524593983,直通车广泛匹配与精准匹配的区别与应用,照顾酱,389838895,11,2,0,31,36,2,2,940
1677244050.5887284,394620546,vlookup分段查询匹配-Excel函数入门到实战制作自动化报表模板之(四),Excel办公自动化,387418363,2,0,0,18,21,2,1,409
1677244050.9170926,224501675,普通人如何翻身逆袭？,公务员干货,491307403,26,2,0,78,103,4,12,1254
1677244051.245366,694536294,高能预警！同学，快来看看bilibili2023校招礼盒,哔哩哔哩招聘,213899402,53,3,0,28,2140,31,65,15990
1677244051.5395436,352110172,员工的忠诚取决于领导自己,许林芳管理思维,1226380111,2,0,0,34,42,2,20,1133
1677244051.8197653,609558067,有人甩锅🔥3秒甩回去！,江雪的成长小窝,1022175770,312,136,0,936,1303,64,113,28891
1677244052.1134045,352086529,江浙真题5--以”变与不变“为题，发表演讲,北楚公务员面试,1567582106,27,3,0,247,125,13,22,5238
1677244052.4476535,737096538,入行一年 我再也做不了模特了？,比例Billie,18741834,7489,396,0,1282,14041,521,402,212568
1677244052.7925637,482087369,运营到底是干啥的？发展前景咋样？3步快速入门不走弯路,运营喵和她的小伙伴们,405498033,2,4,0,35,21,3,6,679
1677244053.1257253,437077573,该怎样和一个阴险的领导相处,易缘老师,691475389,6,1,0,45,71,3,13,1806
1677244053.5176322,779401039,《县委大院》不真实的5个场面,老A讲晋升,1029508158,8,1,0,13,65,9,3,1342
1677244053.828682,524579111,凌晨断开的监控,海南弱电小胡,519573253,207,333,0,197,2873,302,29,57420
1677244054.12053,949530680,Vlog | 自由职业一年，我过得还好吗,小雨在烦恼什么,163531251,199,71,0,60,257,45,8,3275
1677244054.3966994,479531760,不得罪人的管理不是好管理,许林芳管理思维,1226380111,13,1,0,151,136,2,58,3495
1677244054.706817,267023437,职场真相大揭秘！下属能力比你强，怎么“反向拿捏”？,产品老曾,1150472191,89,26,0,414,668,52,101,30912
1677244055.0224497,737119091,有一个被情绪操控的同事，你怎么跟他配合工作？,马力在知群,543931674,2,0,0,22,69,0,2,1067
1677244055.3179433,736920436,酒局上的暗语，没十年混局经验，你肯定听不懂。,善酒酒399,244308626,33,1,0,497,1018,47,28,17166
1677244055.6525803,352102644,小人超害怕你用这些手段对付他,易缘老师,691475389,62,0,0,705,650,12,68,9895
