播放时长,标签个数,硬币数,弹幕数,收藏数,点赞数,评论数,分享数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,存留时长,标签平均每个视频订阅数,up在最热前500条评论的回复率,up在最热前500条评论的点赞率,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,是否原创_2,是否合作_1,有无简介_0,有无广告_1,弹幕模式_1.0,弹幕模式_2.0,弹幕模式_3.0,弹幕模式_4.0,标题样式_！,标题样式_？,24h播放增量
629,8,21768,1290,7461,40919,1309,2641,6.0,104320.0,69.0,-0.0144927536231884,-0.0144927536231884,2.095127314814815,0.3700272465835276,0.0,0.0,0.548,19.306,0,0,0,0,0,0,1,0,0,0,83798.0
135,4,2783,290,605,24327,289,103,5.0,107837.0,114.0,-0.0087719298245614,-0.0087719298245614,2.0952083333333333,0.3733990584220231,0.0,0.0,0.448780487804878,27.90731707317073,0,0,1,0,0,0,0,0,0,0,78611.0
91,5,3693,199,1286,36107,430,1084,6.0,122010.0,54.0,-0.0185185185185185,-0.0185185185185185,2.095266203703704,0.2132702278086422,0.0,0.0,0.4318181818181818,21.931818181818183,0,0,0,0,0,0,1,0,0,0,58088.0
624,10,7706,1354,7595,24787,1671,3031,6.0,45293.0,25.0,-0.04,-0.04,2.0970601851851853,0.3994839483854515,0.0,0.0,5.004158004158004,53.31600831600832,0,0,0,0,0,0,0,1,0,1,98069.0
399,8,6831,2171,607,21570,922,162,6.0,700162.0,679.0,-0.0014727540500736,-0.0014727540500736,2.0980671296296296,0.3737111721133919,0.0,0.0,0.916,19.416,0,0,1,0,0,0,1,0,0,0,21026.0
198,5,2799,790,8487,27075,2135,28250,2.0,121.0,10.0,-0.1,-0.1,2.099050925925926,0.5848208238727022,0.0,0.0,1.648,48.064,1,0,0,0,0,0,1,0,0,0,252038.0
83,3,4090,753,13325,32659,957,2000,6.0,929531.0,132.0,-0.0075757575757575,-0.0075757575757575,2.0997800925925927,0.0787689241925216,0.0,0.0,0.5571142284569138,10.633266533066132,0,0,1,0,0,0,0,0,0,0,43817.0
367,6,534,395,555,16958,2540,278,6.0,35695.0,85.0,-0.0117647058823529,-0.0117647058823529,2.100775462962963,0.0586532044532509,0.0,0.0,1.228,23.252,0,0,0,0,1,0,0,0,0,0,38959.0
1245,1,11858,25661,10247,55539,3652,1678,6.0,5831206.0,1536.0,-0.0006510416666666,-0.0006510416666666,2.102210648148148,5.697635595180712e-06,0.0,0.0,2.6,75.698,0,0,0,0,0,0,1,0,0,0,65193.0
178,8,8761,1539,18056,62482,1237,4812,6.0,6650365.0,644.0,-0.0015527950310559,-0.0015527950310559,2.106284722222222,0.496955771440108,0.0,0.0,1.034,30.974,0,0,0,0,0,0,1,0,0,0,132440.0
1007,7,8263,1991,4919,24602,1948,696,6.0,784555.0,133.0,-0.0075187969924812,-0.0075187969924812,2.1075347222222223,0.4018847874940473,0.0,0.0,4.2565130260521045,26.4188376753507,0,0,0,0,0,0,0,1,0,1,18160.0
127,7,1906,75,1167,31289,218,51,5.0,73941.0,136.0,-0.0073529411764705,-0.0073529411764705,2.108125,0.0045977416456744,0.0,0.0,0.7578125,53.5703125,0,0,1,0,0,0,0,0,0,0,14040.0
1383,10,135055,16748,51853,179900,3729,38580,6.0,5599610.0,567.0,-0.001763668430335,-0.001763668430335,2.1094097222222223,0.5971706911927892,0.0,0.0,2.894,191.98,0,1,0,0,0,0,0,0,0,1,194645.0
277,6,5104,432,1796,16766,535,200,6.0,539153.0,60.0,-0.0166666666666666,-0.0166666666666666,2.112094907407408,0.2591090401370793,0.0,0.0,0.9788732394366196,9.98943661971831,0,0,0,0,0,0,1,0,1,0,13968.0
138,7,278,307,2633,24429,363,169,6.0,574589.0,524.0,-0.0019083969465648,-0.0019083969465648,2.112175925925926,0.313330270032194,0.0,0.0,0.8476190476190476,15.895238095238096,0,0,0,0,0,0,1,0,0,1,76095.0
594,11,22022,9314,7426,126029,1671,2444,6.0,4342742.0,283.0,-0.0035335689045936,-0.0035335689045936,2.1122685185185186,0.4042547432599849,0.0,0.0,0.5470941883767535,53.0060120240481,0,0,0,0,0,0,1,0,0,0,117339.0
213,12,4427,433,2030,16562,378,399,6.0,3471198.0,479.0,-0.0020876826722338,-0.0020876826722338,2.1130787037037035,0.239794238948734,0.0,0.0,0.5212355212355212,7.872586872586872,0,0,0,0,0,0,0,0,0,0,34664.0
384,10,14179,2086,7004,42804,578,337,6.0,1962873.0,241.0,-0.0041493775933609,-0.0041493775933609,2.115972222222222,0.7121542632643973,0.0,0.0,0.8699690402476781,19.59752321981424,0,0,1,0,1,0,0,0,0,1,136689.0
217,10,25692,3303,4705,60225,3887,1829,2.0,44215.0,5.0,-0.2,-0.2,2.116388888888889,4.333333333333333,0.0,0.0,0.868,25.752,0,0,1,0,0,0,0,1,1,0,76197.0
370,11,2140,244,1164,3699,329,2271,5.0,478.0,33.0,-0.0303030303030303,-0.0303030303030303,2.117627314814815,0.3237054725066239,0.0,0.0,0.5023474178403756,8.112676056338028,0,0,1,0,0,0,0,0,0,0,33974.0
88,12,842,259,817,2512,242,864,5.0,738.0,16.0,-0.0625,-0.0625,2.118171296296296,1.0381715616045846,0.0,0.0,0.6333333333333333,6.326666666666667,0,0,0,0,0,0,0,0,1,0,20625.0
173,10,9427,493,15084,49470,428,2849,6.0,2764833.0,137.0,-0.0072992700729927,-0.0072992700729927,2.119363425925926,0.5958483472784891,0.0,0.0,0.6713780918727915,11.070671378091872,0,0,0,0,1,0,0,0,0,0,68312.0
495,11,1838,908,5361,67345,851,1457,6.0,7113700.0,376.0,-0.0026595744680851,-0.0026595744680851,2.125532407407408,0.2202029498279583,0.0,0.0,1.1561085972850678,39.91628959276018,0,0,0,0,0,0,0,1,0,1,54297.0
342,10,3815,3732,9968,35578,3361,22854,6.0,1039223.0,1193.0,-0.0008382229673093,-0.0008382229673093,2.1279166666666667,0.6666666666666666,0.0,0.0,2.278,194.9,0,0,0,0,0,0,0,1,0,0,51377.0
210,10,71698,9500,32747,86949,6045,33029,6.0,768169.0,569.0,-0.0017574692442882,-0.0017574692442882,2.1283449074074072,0.2072281968289008,0.0,0.0,1.8,156.602,0,0,0,0,0,0,0,1,0,0,62328.0
95,3,18931,2210,36100,361835,2299,17817,6.0,10187499.0,4168.0,-0.0002399232245681,-0.0002399232245681,2.1284953703703704,0.06298335299515,0.0,0.0,1.386,172.642,0,0,0,0,0,0,0,1,0,0,285338.0
383,12,6088,1592,10469,45093,589,1323,6.0,2431019.0,1117.0,-0.000895255147717,-0.000895255147717,2.128564814814814,0.3741564926086834,0.0,0.0,0.4470588235294118,13.781176470588235,0,0,1,0,0,0,0,1,1,0,134193.0
72,7,5085,291,5266,23861,1490,890,6.0,563110.0,74.0,-0.0135135135135135,-0.0135135135135135,2.1288425925925925,1.1316095357554043,0.0,0.0,0.5410821643286573,8.438877755511022,0,0,0,0,1,0,0,0,0,0,15306.0
1476,9,5660,4491,4639,43531,1823,1521,6.0,7566109.0,14827.0,-6.744452687664396e-05,-6.744452687664396e-05,2.131712962962963,46.35833333333333,0.0,0.0,2.63,87.646,0,0,0,0,0,0,0,0,0,1,40758.0
328,9,1693,645,1190,15745,1733,1173,6.0,162220.0,99.0,-0.0101010101010101,-0.0101010101010101,2.1377314814814814,0.1143467591935418,0.0,0.0,2.767094017094017,10.564102564102564,0,0,0,0,0,0,0,0,1,0,19076.0
84,9,872,1191,944,21767,10154,33444,6.0,996363.0,1910.0,-0.000523560209424,-0.000523560209424,2.1388541666666665,0.3683582300545968,0.0,0.0,11.625250501002004,234.94188376753507,0,0,0,0,1,0,0,0,0,0,37515.0
68,3,708,112,6064,16294,157,466,6.0,196313.0,313.0,-0.0031948881789137,-0.0031948881789137,2.139965277777778,0.2132224312240738,0.0,0.0,0.391304347826087,4.260869565217392,0,0,0,0,0,0,0,0,1,0,105830.0
161,4,2768,682,3985,49266,1503,1414,2.0,251094.0,3.0,-0.3333333333333333,-0.3333333333333333,2.145590277777778,0.3741564926086834,0.0,0.0,0.5671342685370742,17.889779559118235,0,0,0,0,0,0,0,0,1,0,77397.0
414,12,10753,2713,3435,47167,1011,1412,6.0,1693463.0,256.0,-0.00390625,-0.00390625,2.151527777777778,0.6401083504576873,0.0,0.0,1.202,16.476,0,0,0,0,0,0,0,0,0,1,53221.0
419,10,3514,152,7537,8004,666,1499,2.0,759.0,2.0,-0.5,-0.5,2.1517824074074072,0.4559487265980772,0.0,0.0,1.8412698412698407,25.53174603174603,0,0,0,0,0,0,1,0,1,0,23938.0
234,12,5400,3201,3764,72746,1609,1522,6.0,4407946.0,254.0,-0.0039370078740157,-0.0039370078740157,2.1519097222222223,2.050081771937712,0.0,0.0,0.7955911823647295,25.685370741482966,0,0,0,0,0,0,1,0,0,0,66797.0
1395,11,1612,184,3686,3977,142,477,5.0,2165.0,10.0,-0.1,-0.1,2.157280092592593,1.109346537632791,0.0,0.0,0.8875,22.725,0,0,0,0,0,0,0,0,1,0,27082.0
580,8,12189,877,3628,26311,147,2539,6.0,3227131.0,736.0,-0.0013586956521739,-0.0013586956521739,2.160625,0.3695726446717365,0.0,0.0,4.587155963302752,44.79816513761468,0,0,1,0,0,0,1,0,0,0,53317.0
137,5,5262,360,2372,30845,691,1232,6.0,1805820.0,576.0,-0.0017361111111111,-0.0017361111111111,2.183611111111111,0.8131925028476753,0.0,0.0,0.3085585585585585,14.216216216216216,0,0,1,0,0,0,0,1,0,0,21567.0
312,3,1669,1193,1260,46171,703,467,6.0,3892907.0,578.0,-0.0017301038062283,-0.0017301038062283,2.190324074074074,0.373364937150806,0.0,0.0,0.6872146118721462,19.559360730593607,0,0,0,0,0,0,0,0,0,0,50005.0
79,9,584,449,3902,23698,1280,8241,6.0,5703.0,1966.0,-0.0005086469989827,-0.0005086469989827,2.1925,0.0681897928687455,0.0,0.0,1.905857740585774,48.02301255230125,0,0,0,0,0,0,0,0,0,0,73277.0
256,13,5135,442,1423,19219,558,573,6.0,81838.0,232.0,-0.0043103448275862,-0.0043103448275862,2.193101851851852,0.3022504373222092,0.0,0.0,0.7020648967551623,13.238938053097344,0,0,0,0,0,0,1,0,0,1,48333.0
514,7,2439,2328,4915,32261,2026,1116,6.0,2342735.0,394.0,-0.0025380710659898,-0.0025380710659898,2.196550925925926,0.1717511547014882,0.0,0.0,2.494,47.092,0,0,1,0,1,0,0,0,0,0,79760.0
214,7,20106,1345,8035,178378,901,626,6.0,256404.0,55.0,-0.0181818181818181,-0.0181818181818181,2.2027083333333333,2.327437311414005,0.0,0.0,0.2865731462925852,47.05410821643287,0,0,0,0,1,0,0,0,0,0,148665.0
80,10,2403,97,13643,4940,345,2855,3.0,363.0,1.0,-1.0,-1.0,2.2038657407407407,0.5254224523417275,0.0,0.0,2.204724409448819,13.858267716535432,0,0,0,0,0,0,1,0,0,0,55136.0
786,4,3458,2597,2796,35989,1246,1670,6.0,914556.0,232.0,-0.0043103448275862,-0.0043103448275862,2.2041666666666666,0.1291512915129151,0.0,0.0,0.66,130.528,0,1,0,0,0,0,0,1,0,0,41686.0
400,5,3934,351,1055,17209,742,243,6.0,1169313.0,476.0,-0.0021008403361344,-0.0021008403361344,2.205555555555556,0.0530673475183686,0.0,0.0,0.830952380952381,7.630952380952381,0,0,1,0,0,0,0,1,1,0,35528.0
